Tier,Date,Pay,Title,Exp Lvl,Location,Category,Url,New,Reject Reason,Part Time,Night Time,Non US
Tolerable,2026-04-10,,AI Platform Engineer,mid,Remote,Code & Build,https://jobs.ashbyhq.com/0g/1554138f-15dc-4225-93cc-44b64f2540ed,New,missing pay,,,
Tolerable,2026-04-10,,"CMO, Head of Marketing",senior,Remote,Other,https://jobs.ashbyhq.com/0g/63d8f52a-9522-4f9d-825c-ec211798dbc2,New,missing pay,,,
Tolerable,2026-04-10,,DevOps Engineer,mid,Remote,Code & Build,https://jobs.ashbyhq.com/0g/cc109ddf-279a-4359-8516-86f2a5c18e99,New,missing pay,,,
Tolerable,2026-04-10,,Executive Assistant,entry,Remote,Other,https://jobs.ashbyhq.com/0g/4bc23bef-1bb4-48ca-aef7-aa03d68c9e5b,New,missing pay,,,
Tolerable,2026-04-10,,Head of Security / Senior Security Engineer,senior,Remote,IT & Systems,https://jobs.ashbyhq.com/0g/7f0e0f37-f757-4d2a-b7e8-d50204034bef,New,missing pay,,,
Merciless,2026-04-10,,Senior Product Manager - Web3,senior,Remote,Other,https://jobs.ashbyhq.com/0g/09aca14b-e4b2-49b1-8dfc-25e2092430c4,New,crypto_web3,,,
Tolerable,2026-04-10,,Social Media Manager,senior,Remote,Other,https://jobs.ashbyhq.com/0g/8e7e537f-c1df-42cf-9def-d63ccf106faf,New,missing pay,,,
Merciless,2026-03-04,,Commercial Counsel,senior,Remote — North America (Aligned with U.S. Time Zon,Other,https://jobs.ashbyhq.com/0x/2f585545-92f6-4954-ae52-a7ee86d45ea2,New,legal_role,,,
Tolerable,2026-04-10,,Data Scientist (GTM),mid,Remote,Data & Insights,https://jobs.ashbyhq.com/0x/6dbca8eb-0553-411d-b903-dfa5f73dfcd3,New,missing pay,,,
Tolerable,2026-04-10,,Growth Product Manager | Matcha,senior,Remote,Other,https://jobs.ashbyhq.com/0x/d02ee11d-020f-4911-af06-23434ed1514d,New,missing pay,,,
Tolerable,2026-04-10,,Senior Backend Engineer API | Matcha,senior,Remote,Code & Build,https://jobs.ashbyhq.com/0x/1b8b57e9-e054-442d-a663-86f21724fc8a,New,missing pay,,,
Tolerable,2026-04-10,,Senior Mobile Engineer | Matcha,senior,Remote,Code & Build,https://jobs.ashbyhq.com/0x/214935aa-0d12-4c0e-8086-91521aefa4f0,New,missing pay,,,
Tolerable,2026-04-10,,Senior Product Designer,senior,Remote,Other,https://jobs.ashbyhq.com/0x/d6f37bb7-8335-4e5c-bfbd-f23e08b54c09,New,missing pay,,,
Merciless,2026-03-04,,"Strategic Account Manager, CROs & Service Providers – Americas",senior,"California, USA (Remote)",Client Success,https://boards.greenhouse.io/10xgenomics/jobs/7561239?gh_jid=7561239,New,hybrid_on_site_required,,,
Merciless,2026-04-10,,"Account Executive, Chicago",mid,"Illinois, USA (Remote)",Client Success,https://boards.greenhouse.io/10xgenomics/jobs/7551091?gh_jid=7551091,New,hybrid_on_site_required,,,
Merciless,2026-03-25,,"Account Executive, San Francisco",mid,"California, USA (Remote)",Client Success,https://boards.greenhouse.io/10xgenomics/jobs/7683624?gh_jid=7683624,New,hybrid_on_site_required,,,
Merciless,2026-04-10,,Channel Business Manager,senior,Australia (Remote),Ops & Support,https://boards.greenhouse.io/10xgenomics/jobs/7609945?gh_jid=7609945,New,hybrid_on_site_required,,,TRUE
Warning,2026-04-10,,Channel Sales Account Executive,mid,"Beijing, China (Remote)",Client Success,https://boards.greenhouse.io/10xgenomics/jobs/7597471?gh_jid=7597471,New,missing pay,,,TRUE
Merciless,2026-04-10,,"Field Application Scientist, Detroit",mid,"Michigan, USA (Remote)",Ops & Support,https://boards.greenhouse.io/10xgenomics/jobs/7662989?gh_jid=7662989,New,hybrid_on_site_required,,,
Merciless,2026-04-10,,Field Service Engineer - Japan,mid,Japan (Remote),Client Success,https://boards.greenhouse.io/10xgenomics/jobs/7495978?gh_jid=7495978,New,field_remote_not_true_remote,,,TRUE
